Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt1001508,10,2019-04-06,He's Just Not That Into You,https://www.imdb.com/title/tt1001508/,movie,6.4,129,2009,"Comedy, Drama, Romance",148869,2009-01-24,Ken Kwapis
tt1001526,8,2019-04-06,Megamind,https://www.imdb.com/title/tt1001526/,movie,7.3,95,2010,"Animation, Action, Comedy, Family, Sci-Fi",205434,2010-10-28,Tom McGrath
tt1013752,10,2019-04-06,Fast & Furious,https://www.imdb.com/title/tt1013752/,movie,6.6,107,2009,"Action, Crime, Thriller",240299,2009-03-12,Justin Lin
tt1055369,9,2019-04-06,Transformers: Revenge of the Fallen,https://www.imdb.com/title/tt1055369/,movie,6.0,150,2009,"Action, Adventure, Sci-Fi",362613,2009-06-19,Michael Bay
tt0110413,10,2019-04-06,Léon,https://www.imdb.com/title/tt0110413/,movie,8.6,110,1994,"Action, Crime, Drama, Thriller",912207,1994-09-14,Luc Besson
tt0114369,10,2019-04-06,Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",1269993,1995-09-15,David Fincher
tt0120338,7,2019-04-06,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",945360,1997-11-01,James Cameron
tt1216475,8,2019-04-06,Cars 2,https://www.imdb.com/title/tt1216475/,movie,6.2,106,2011,"Animation, Adventure, Comedy, Family, Sport",136403,2011-06-18,"Brad Lewis, John Lasseter"
tt1228705,10,2019-04-06,Iron Man 2,https://www.imdb.com/title/tt1228705/,movie,7.0,124,2010,"Action, Adventure, Sci-Fi",642202,2010-04-26,Jon Favreau
tt1277953,9,2019-04-06,Madagascar 3: Europe's Most Wanted,https://www.imdb.com/title/tt1277953/,movie,6.8,93,2012,"Animation, Adventure, Comedy, Family",144811,2012-05-18,"Conrad Vernon, Tom McGrath, Eric Darnell"
tt1300854,10,2019-04-06,Iron Man Three,https://www.imdb.com/title/tt1300854/,movie,7.2,130,2013,"Action, Adventure, Sci-Fi",676800,2013-04-12,Shane Black
tt1302011,6,2019-04-06,Kung Fu Panda 2,https://www.imdb.com/title/tt1302011/,movie,7.2,90,2011,"Animation, Action, Adventure, Comedy, Family, Fantasy",225513,2011-05-22,Jennifer Yuh Nelson
tt1323594,9,2019-04-06,Despicable Me,https://www.imdb.com/title/tt1323594/,movie,7.7,95,2010,"Animation, Comedy, Family, Fantasy",460248,2010-06-20,"Chris Renaud, Pierre Coffin"
tt1399103,9,2019-04-06,Transformers: Dark of the Moon,https://www.imdb.com/title/tt1399103/,movie,6.3,154,2011,"Action, Adventure, Sci-Fi",364035,2011-06-23,Michael Bay
tt1453405,9,2019-04-06,Monsters University,https://www.imdb.com/title/tt1453405/,movie,7.3,104,2013,"Animation, Adventure, Comedy, Family, Fantasy",288676,2013-06-05,Dan Scanlon
tt1454468,5,2019-04-06,Gravity,https://www.imdb.com/title/tt1454468/,movie,7.7,91,2013,"Drama, Sci-Fi, Thriller",702412,2013-08-28,Alfonso Cuarón
tt1690953,10,2019-04-06,Despicable Me 2,https://www.imdb.com/title/tt1690953/,movie,7.4,98,2013,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",341080,2013-06-16,"Chris Renaud, Pierre Coffin"
tt1772341,9,2019-04-06,Wreck-It Ralph,https://www.imdb.com/title/tt1772341/,movie,7.7,101,2012,"Animation, Adventure, Comedy, Family, Fantasy",339095,2012-11-01,Rich Moore
tt1905041,9,2019-04-06,Furious 6,https://www.imdb.com/title/tt1905041/,movie,7.1,130,2013,"Action, Crime, Thriller",344329,2013-05-07,Justin Lin
tt1980929,9,2019-04-06,Begin Again,https://www.imdb.com/title/tt1980929/,movie,7.4,104,2013,"Comedy, Drama, Music, Romance",128497,2013-09-07,John Carney
tt0198781,7,2019-04-06,"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,movie,8.1,92,2001,"Animation, Adventure, Comedy, Family, Fantasy",730471,2001-10-28,"David Silverman, Pete Docter, Lee Unkrich"
tt2245084,8,2019-04-06,Big Hero 6,https://www.imdb.com/title/tt2245084/,movie,7.8,102,2014,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",365568,2014-10-23,"Chris Williams, Don Hall"
tt2267968,9,2019-04-06,Kung Fu Panda 3,https://www.imdb.com/title/tt2267968/,movie,7.1,95,2016,"Animation, Action, Adventure, Comedy, Family, Fantasy",113839,2016-01-16,"Jennifer Yuh Nelson, Alessandro Carloni"
tt0232500,10,2019-04-06,The Fast and the Furious,https://www.imdb.com/title/tt0232500/,movie,6.8,106,2001,"Action, Crime, Thriller",317813,2001-06-18,Rob Cohen
tt0264464,10,2019-04-06,Catch Me If You Can,https://www.imdb.com/title/tt0264464/,movie,8.1,141,2002,"Biography, Crime, Drama",708149,2002-12-16,Steven Spielberg
tt2802144,9,2019-04-06,Kingsman: The Secret Service,https://www.imdb.com/title/tt2802144/,movie,7.7,129,2014,"Action, Adventure, Comedy, Thriller",537907,2014-12-13,Matthew Vaughn
tt2820852,8,2019-04-06,Furious Seven,https://www.imdb.com/title/tt2820852/,movie,7.2,137,2015,"Action, Crime, Thriller",332444,2015-03-16,James Wan
tt0309698,9,2019-04-06,Identity,https://www.imdb.com/title/tt0309698/,movie,7.3,90,2003,"Mystery, Thriller",207862,2003-04-23,James Mangold
tt0317219,9,2019-04-06,Cars,https://www.imdb.com/title/tt0317219/,movie,7.1,117,2006,"Animation, Comedy, Family, Sport",324861,2006-03-14,"John Lasseter, Joe Ranft"
tt0317705,7,2019-04-06,The Incredibles,https://www.imdb.com/title/tt0317705/,movie,8.0,115,2004,"Animation, Action, Adventure, Family",594436,2004-10-27,Brad Bird
tt0322259,9,2019-04-06,2 Fast 2 Furious,https://www.imdb.com/title/tt0322259/,movie,5.9,107,2003,"Action, Crime, Thriller",228935,2003-06-03,John Singleton
tt0351283,7,2019-04-06,Madagascar,https://www.imdb.com/title/tt0351283/,movie,6.9,86,2005,"Animation, Adventure, Comedy, Family",327518,2005-05-25,"Tom McGrath, Eric Darnell"
tt3659388,9,2019-04-06,The Martian,https://www.imdb.com/title/tt3659388/,movie,8.0,144,2015,"Adventure, Drama, Sci-Fi",669753,2015-09-11,Ridley Scott
tt0371746,10,2019-04-06,Iron Man,https://www.imdb.com/title/tt0371746/,movie,7.9,126,2008,"Action, Adventure, Sci-Fi",842999,2008-04-14,Jon Favreau
tt0372784,7,2019-04-06,Batman Begins,https://www.imdb.com/title/tt0372784/,movie,8.2,140,2005,"Action, Adventure",1179950,2005-05-31,Christopher Nolan
tt0418279,6,2019-04-06,Transformers,https://www.imdb.com/title/tt0418279/,movie,7.1,144,2007,"Action, Adventure, Sci-Fi",566440,2007-06-12,Michael Bay
tt0441773,7,2019-04-06,Kung Fu Panda,https://www.imdb.com/title/tt0441773/,movie,7.6,92,2008,"Animation, Action, Adventure, Comedy, Family",376315,2008-05-15,"Mark Osborne, John Stevenson"
tt4630562,9,2019-04-06,The Fate of the Furious,https://www.imdb.com/title/tt4630562/,movie,6.7,136,2017,"Action, Crime, Thriller",176544,2017-04-04,F. Gary Gray
tt0463985,4,2019-04-06,The Fast and the Furious: Tokyo Drift,https://www.imdb.com/title/tt0463985/,movie,6.0,104,2006,"Action, Crime, Thriller",216948,2006-06-04,Justin Lin
tt0468569,9,2019-04-06,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2036530,2008-07-14,Christopher Nolan
tt0479952,7,2019-04-06,Madagascar: Escape 2 Africa,https://www.imdb.com/title/tt0479952/,movie,6.7,89,2008,"Animation, Adventure, Comedy, Family",181144,2008-10-30,"Tom McGrath, Eric Darnell"
tt0499549,8,2019-04-06,Avatar,https://www.imdb.com/title/tt0499549/,movie,7.8,162,2009,"Action, Adventure, Fantasy, Sci-Fi",1033731,2009-12-10,James Cameron
tt0848228,6,2019-04-06,The Avengers,https://www.imdb.com/title/tt0848228/,movie,8.1,143,2012,"Action, Adventure, Sci-Fi",1160549,2012-04-11,Joss Whedon
